"","Country.Name","X2020_renew_energy_1","X2020_access_to_electrcity_1","X2020_private_investment_1","X2020_gini_index_1","X2020_gdp_current_1","X2020_gdp_growth_1","X2020_gdp_per_capita_1","X2020_gdp_per_capita_growth_1"
"1","Aruba",8.67,100,NA,NA,2610038939,-18.58909924,24487.86357,-18.69832435
"2","Afghanistan",17.58,97.7,NA,NA,20143451706,-2.351100673,516.8667974,-5.364665931
"3","Angola",61.02,46.95544434,NA,NA,50241368244,-5.638214717,1502.950754,-8.672432129
"4","Albania",44.58,100,NA,29.4,15162734205,-3.302082039,5343.037704,-2.745238678
"5","Andorra",21.86,100,NA,NA,2891001149,-11.18393994,37207.222,-12.73507756
"6","United Arab Emirates",0.92,100,NA,NA,349473015330,-4.957052433,37629.17417,-5.731044522
"7","Argentina",9.84,100,1.6e+08,42.3,385540406816,-9.943235134,8496.428157,-10.81261085
"8","Armenia",8.38,100,NA,25.1,12641698594,-7.199999999,4505.867746,-6.704049318
"9","American Samoa",0.51,NA,NA,NA,7.16e+08,5.065359477,15501.52634,7.64030128
"10","Australia",10.89,100,NA,NA,1326944627877,-0.05088533608,51722.069,-1.278358059
"11","Austria",35.77,100,NA,29.8,435225238000,-6.453968467,48809.22688,-6.841544703
"12","Azerbaijan",1.23,100,NA,NA,4.2693e+10,-4.300000102,4229.910649,-4.952701739
"13","Burundi",83.52,9.1,15700000,NA,2649680261,0.3271568926,216.8274174,-2.508461168
"14","Belgium",12.28,100,NA,26,525213067068,-5.36258592,45517.90382,-5.769592438
"15","Benin",46.2,40.9859314,NA,NA,15651545209,3.8487924,1237.949295,0.9519378609
"16","Burkina Faso",67.51,18.46727943,66220000,NA,17933606213,1.93032489,833.2443361,-0.7738474739
"17","Bangladesh",27.96,96.2,2.087e+09,NA,373902196399,3.448025628,2233.305893,2.271109279
"18","Bulgaria",21.08,99.7,NA,40.5,70404359049,-3.958614598,10153.4766,-3.380400724
"19","Bahrain",0,100,NA,NA,34621807713,-4.644637359,23433.18724,-3.565598605
"20","Bahamas",1.41,100,NA,NA,9754600000,-23.50817631,23998.26802,-23.86836277
"21","Belarus",8.39,100,NA,24.4,61371755326,-0.6729041253,6542.86454,-0.2513865761
"22","Belize",30.2,96.80762482,NA,NA,2.08e+09,-13.40295909,5266.87616,-14.68046614
"23","Bermuda",0.95,100,NA,NA,6887147000,-6.837955191,107791.8864,-6.811709487
"24","Bolivia",16.86,97.22181702,NA,43.6,36629843806,-8.737884358,3068.812555,-9.952404845
"25","Brazil",50.05,99.70271301,6242530000,48.9,1476107292037,-3.276758796,6923.700197,-3.918004172
"26","Barbados",4.57,100,NA,NA,4671800000,-13.31102153,16643.80658,-13.46945599
"27","Brunei",0.01,100,NA,NA,12005795915,1.13357335,27179.34442,0.291718917
"28","Bhutan",88.39,100,NA,NA,2325185521,-10.00969933,3009.925516,-10.59763139
"29","Botswana",27.21,71.82912445,NA,NA,14960291541,-8.729451498,5875.070606,-10.40331706
"30","Central African Republic",90.88,15.40571308,NA,NA,2326720902,0.8999999969,435.4692482,-1.624775579
"31","Canada",23.85,100,NA,NA,1647598402303,-5.074357568,43349.67786,-6.088212049
"32","Switzerland",26.37,100,NA,NA,739913619797,-2.37556328,85656.32267,-3.086282111
"33","Channel Islands",NA,100,NA,NA,9811538462,-7.965078807,57339.52687,-8.881055213
"34","Chile",26.73,100,NA,44.9,254096103516,-6.145246857,13165.38634,-7.413626946
"35","China",14.81,100,838180000,NA,14687743556970,2.238638356,10408.71912,1.995558042
"36","Côte d’Ivoire",63.34,69.87832642,810240000,NA,62982768372,1.737620429,2349.069882,-0.7828414741
"37","Cameroon",78.94,64.31187439,NA,NA,40773241212,0.2599329159,1539.130547,-2.422434418
"38","Congo - Kinshasa",96.16,20.07378006,6e+08,NA,48716961865,1.735422764,524.6666863,-1.49268943
"39","Congo - Brazzaville",71.88,48.67913055,NA,NA,10483151094,-6.239319632,1838.448124,-8.400600152
"40","Colombia",31.31,99.72175598,205230000,53.5,270150956773,-7.252299075,5304.289129,-8.605811527
"41","Comoros",48.29,85.63534546,NA,NA,1225039196,-0.1955568271,1519.58678,-2.074861396
"42","Costa Rica",36.43,99.9,NA,49.2,62395610764,-4.273354322,12179.25667,-4.994101584
"43","Cuba",23.93,99.93264008,NA,NA,1.07352e+11,-10.94834097,9499.590202,-10.8222658
"44","Curaçao",2.78,100,NA,NA,2496174749,-18.43847185,16109.86175,-17.12567166
"45","Cayman Islands",0.01,100,NA,NA,5647224973,-5.108135407,83897.50521,-6.767414346
"46","Cyprus",15.02,100,NA,31.7,25008266159,-4.372474186,28035.98438,-5.450317794
